id,emoji,name,description,keywords,sentiment_label,sentiment_score
25,🤪,Zany Face,"A smiley making a silly face. A yellow face with a big grin and wide, white eyes, one larger than the other and in a wild, cockeyed expression. Many platforms, including Apple, depict its tongue stuck out and head tilted; others feature a full-toothed grin, giving it a more unhinged appearance.",smiley making silly feature toothed grin face yellow,POSITIVE,0.8873670101165771
26,😝,Squinting Face with Tongue,"A yellow face with scrunched, X-shaped eyes and a big grin, sticking out its tongue. Often conveys a sense of fun, excitement, playfulness, hilarity, and happiness, as if saying Squee! or Awesome! ",yellow face scrunched saying squee awesome eyes big grin happiness sticking tongue shaped,POSITIVE,0.999431312084198
27,🤑,Money-Mouth Face,"A yellow face with raised eyebrows, dollar signs for eyes, and an open smile sticking out a tongue styled after a green, dollar banknote. Some platforms depict the dollar-sign eyes in green circles.",dollar signs eyes sign eyebrows green depict,POSITIVE,0.9704896807670593
28,🤗,Hugging Face,"A yellow face smiling with open hands, as if giving a hug. May be used to offer thanks and support, show love and care, or express warm, positive feelings more generally.",yellow face smiling open hands giving hug used,POSITIVE,0.999636173248291
29,🤭,Face with Hand Over Mouth,"A yellow face with a hand covering its mouth. Apple and Facebook feature simple, open eyes, suggesting someone gasping Oh my! in serious surprise, shock, concern, or apology. Other platforms depict a face with smiling eyes and/or blushing cheeks, suggesting coy laughter or embarrassment, as if cheekily saying Oops! ",yellow face smiling eyes depict hand blushing cheeks,POSITIVE,0.979242205619812
30,🤫,Shushing Face,"A yellow face placing an index finger over pursed lips, as if issuing Shh! or Shush! for silence. Some platforms feature raised eyebrows. Apple’s design suggests the face is tilting back slightly. ",raised eyebrows apple face tilting slightly feature yellow placing design suggests,NEGATIVE,0.9945565462112427
31,🤔,Thinking Face,"A yellow face with furrowed eyebrows looking upwards with thumb and index finger resting on its chin. Intended to show a person pondering or deep in thought. Often used to question or scorn something or someone, as if saying Hmm, I don't know about that. Tone varies, including earnest, playful, puzzled, skeptical, and mocking.",yellow face furrowed eyebrows looking,NEGATIVE,0.9175664186477661
32,🤐,Zipper-Mouth Face,"A yellow face with simple, open eyes and a closed zipper for a mouth. Meaning widely varies, but commonly conveys a secret or that someone will keep one (e.g., My lips are sealed). May also be used to tell someone to stop talking (e.g., Zip it! or I’ll shut up now).",yellow face simple conveys secret lips sealed commonly closed zipper mouth eyes,NEGATIVE,0.9559608697891235
33,🤨,Face with Raised Eyebrow,"A yellow face with a flat, neutral mouth and furrowed eyebrows, its left raised higher than its right. Conveys a wide variety of sentiments, including suspicion, skepticism, concern, consideration, disbelief, and disapproval.",yellow face flat neutral mouth furrowed eyebrows,NEGATIVE,0.6468790769577026
34,😐,Neutral Face,"A yellow face with simple, open eyes and a flat, closed mouth. Intended to depict a neutral sentiment but often used to convey mild irritation and concern or a deadpan sense of humor.",yellow face simple open flat closed mouth eyes,NEGATIVE,0.9870418310165405
35,😑,Expressionless Face,"A yellow face with flat, closed eyes and mouth. May convey a sense of frustration or annoyance more intense than suggested by 😐 Neutral Face, as if taking a moment to collect itself.",yellow face flat closed neutral eyes mouth convey,NEGATIVE,0.9976226687431335
36,😶,Face Without Mouth,"A yellow face with simple, open eyes and no mouth, as if at a loss for words. Meaning widely varies, but commonly conveys speechlessness, humility, and silence. May also convey moderately negative emotions, such as disappointment, frustration, or sadness. ",yellow face simple commonly conveys speechlessness humility,NEGATIVE,0.9113685488700867
37,😏,Smirking Face,"A yellow face with a sly, smug, mischievous, or suggestive facial expression. It features a half-smile, raised eyebrows, and eyes looking to the side. Often used to convey flirtation or sexual innuendo.",yellow face sly mischievous suggestive facial expression smile raised eyebrows features smug,POSITIVE,0.9678387641906738
38,😒,Unamused Face,"A yellow face with slightly raised eyebrows, a frown, and eyes looking to the side. May convey a variety of negative emotions, including irritation, displeasure, grumpiness, and skepticism, as if giving the side-eye.",yellow face slightly frown eyes looking eyebrows raised,NEGATIVE,0.9869804978370667
39,🙄,Face with Rolling Eyes,"A yellow face with a small, closed mouth, flat or frowning, rolling its large, white eyes upwards. As with the gesture of an eye-roll, commonly conveys moderate disdain, disapproval, frustration, or boredom. Tone varies, including playful, sassy, resentful, and sarcastic, as if saying Yeah, whatever.",yellow face small eye roll commonly mouth flat frowning rolling,NEGATIVE,0.658501386642456
40,😬,Grimacing Face,"A yellow face with simple open eyes showing clenched teeth. May represent a range of negative or tense emotions, especially nervousness, embarrassment, or awkwardness (e.g., Eek!).",yellow face simple eyes showing clenched open,NEGATIVE,0.9938549399375916
41,🤥,Lying Face,"A yellow face with raised eyebrows, enlarged eyes, slight frown, and long nose, indicating it’s telling a lie in the manner of Pinocchio. Like that character, Facebook's design features a wooden nose. ",pinocchio like character yellow face features wooden nose raised facebook design frown long,NEGATIVE,0.9957648515701294
42,😌,Relieved Face,"A yellow face with soft, closed eyes, raised eyebrows, and a slight smile. Facebook’s design features a slightly open mouth, as if sighing.",slight smile facebook design eyebrows features slightly open mouth yellow face,POSITIVE,0.9977176189422607
43,😔,Pensive Face,"A pensive, remorseful face. Saddened by life. Quietly considering where things all went wrong. Depicted as a yellow face with sad, closed eyes, furrowed eyebrows, and a slight, flat mouth.",yellow face sad remorseful saddened pensive life depicted,NEGATIVE,0.9885546565055847
44,😪,Sleepy Face,"A yellow face with closed eyes, mouth slightly open, and a blue snot bubble coming from its nose. Snot bubbles indicate a character is tired or sleeping in anime or manga. Not to be confused with 😴 Sleeping Face ",confused sleeping face snot bubbles indicate nose yellow closed eyes bubble coming,NEGATIVE,0.9978395700454712
45,🤤,Drooling Face,"A yellow face, usually shown with closed eyes and raised eyebrows, with saliva drooling from one corner of its mouth. Often used to show desire for a person (sexy, attractive) or object (e.g., delicious food). May also represent someone is tired or sleeping.",yellow face usually raised eyebrows saliva eyes,NEGATIVE,0.9888089299201965
46,😴,Sleeping Face,"A yellow face with eyes closed and mouth letting out three, cartoon-styled Zzz’s overhead to indicate it's sound asleep. The Zzz’s appear blue or purple across most platforms. May also represent boredom (slang, snooze).",cartoon styled zzz asleep appear overhead indicate blue yellow face eyes,NEGATIVE,0.9991896748542786
47,😷,Face with Medical Mask,"A yellow face wearing a white surgical mask, as used by health workers in hospitals as well as the general public during a pandemic. May be worn to avoid sickness or spreading airborne diseases.",yellow face wearing white surgical mask used health,NEGATIVE,0.9917482137680054
48,🤒,Face with Thermometer,"A yellow face with raised or furrowed eyebrows and a thermometer in its mouth. Often depicted with red cheeks, as if feverish. May be used to represent a hospital patient or person with a cold or flu.",yellow face red cheeks feverish raised used represent furrowed eyebrows thermometer,NEGATIVE,0.9976065158843994
49,🤕,Face with Head-Bandage,"A yellow face with a half-frown and white bandage wrapped around its head, often depicted partially over one eye. May represent physical injury or pain but also emotional hurting, sometimes for ironic effect.",yellow face half frown depicted partially eye white bandage,NEGATIVE,0.9944130778312683
50,🤢,Nauseated Face,"A sickly-green face with concerned eyes and puffed, often red cheeks, as if holding back vomit. May represent physical illness or general disgust. Not to be confused with 🤮 Face Vomiting.",face vomiting confused cheeks holding vomit sickly green puffed red concerned,NEGATIVE,0.9973414540290833
51,🤮,Face Vomiting,"A yellow face with scrunched, X-shaped eyes spewing bright-green vomit. May represent physical illness or disgust, more intensely so than 🤢 Nauseated Face.",nauseated face yellow intensely scrunched bright green vomit shaped eyes spewing,NEGATIVE,0.999563992023468
52,🤧,Sneezing Face,"A yellow face with scrunched, X-shaped eyes sneezing or blowing its nose into a white tissue, as if from a cold or allergies. Often depicted with a crumpled-looking mouth.",shaped eyes sneezing yellow face scrunched blowing nose white tissue,NEGATIVE,0.9995338916778564
53,🥵,Hot Face,"A reddish-orange face with furrowed eyebrows, tongue stuck out, and beads of sweat, as if overheated from high temperatures. Number and position of sweat droplets vary by platforms. May also represent physical attractiveness (slang, hot).",orange face furrowed eyebrows tongue reddish,NEGATIVE,0.9221422076225281
54,🥶,Cold Face,"An icy-blue face with gritted teeth usually depicted with icicles clinging to its cheeks or jaw, as if frozen from extreme cold. May also represent unfriendliness (slang, cold) or excellence (slang, cool or chill).",icicles clinging cheeks icy blue face slang cold gritted jaw frozen usually depicted,NEGATIVE,0.989459753036499
55,🥴,Woozy Face,"A yellow face with a crumpled mouth and a cockeyed expression, as if tired and emotional from inebriation or smitten with love. Depicted with raised or furrowed eyebrows and at least one eye half-open. WhatsApp's design features a tongue hanging out. ",yellow face features tongue hanging crumpled furrowed eyebrows eye mouth,NEGATIVE,0.987650990486145
56,😵,Dizzy Face,"A yellow face with X’s for eyes and a round, open mouth. Often depicted with raised or furrowed eyebrows. Facebook’s design features a purple forehead. Previously displayed with spiral eyes on some platforms.",yellow face eyes round features purple forehead furrowed eyebrows facebook design,NEGATIVE,0.9577022790908813
57,🤯,Exploding Head,"A yellow face with an open mouth, the top of its head exploding in the shape of a brain-like mushroom cloud. A visual form of the expression mind blown, it may represent such emotions as shock, awe, amazement, and disbelief.",head exploding shape brain mouth yellow face blown represent emotions shock,NEGATIVE,0.9500613212585449
58,🤠,Cowboy Hat Face,"Yee-haw! A yellow smiley wearing a wide-brimmed, brown-leather cowboy hat. Its smile varies across platforms. May convey a sense of exuberance, whimsy, confidence, adventure, or other sentiments.",cowboy hat smile haw yellow smiley wearing wide,POSITIVE,0.988991379737854
59,🥳,Partying Face,A yellow face with a party hat blowing a party horn as confetti floats around its head. Used for celebrating joyous occasions (such as New Year's Eve or World Emoji Day) and enjoying good times more generally.,party horn confetti yellow face hat floats head blowing,POSITIVE,0.9867542386054993
60,🥸,Disguised Face,"A yellow face with big glasses, a large nose, thick eyebrows, and a mustache. Used to represent someone in disguise.",yellow face big nose eyebrows mustache used represent disguise,NEGATIVE,0.9877341389656067
61,😎,Smiling Face with Sunglasses,"A yellow face with a broad, closed smile wearing black sunglasses, as if a pair of classic Wayfarers. Often used to convey the slang sense of cool. May also express a confident, carefree attitude or that something is excellent.",yellow face broad smile wearing black closed sunglasses,POSITIVE,0.9993545413017273
62,🤓,Nerd Face,"A smiling yellow face with glasses, often with teeth showing, originally buck teeth on most platforms.",smiling yellow face buck teeth platforms glasses,NEGATIVE,0.5650950074195862
63,🧐,Face with Monocle,"A yellow face with furrowed eyebrows wearing a monocle. Usually depicted with a small, intent frown and head slightly upturned, as if in careful inspection.",yellow face furrowed eyebrows wearing frown head slightly,NEGATIVE,0.9962530136108398
64,😕,Confused Face,"A yellow face with open eyes and a skewed frown, as if scrunching its cheeks or chewing its lips. A look of feeling unsure. An Google’s design heightens its intended puzzlement by including contorted eyebrows.",contorted eyebrows eyes skewed frown scrunching cheeks yellow face including,NEGATIVE,0.7380998134613037
65,😟,Worried Face,"A yellow face with open eyes, raised or furrowed eyebrows, and a broad frown. May convey a variety of moderately sad or tense emotions, including concern, anxiety, alarm, disappointment, and unhappiness. ",yellow face eyebrows broad frown open convey furrowed,NEGATIVE,0.971855103969574
66,🙁,Slightly Frowning Face,"A yellow face with simple, open eyes and a slight frown. Often conveys a mild degree of concern, disappointment, or sadness, but usually less intensely than ☹️ Frowning Face.",yellow face simple eyes slight frown conveys intensely frowning,NEGATIVE,0.6426404118537903
67,☹️, Frowning Face,"A classic sad face. A yellow face with simple, open eyes and wide, steep frown. May convey such feelings as moderate concern or disappointment and affectionate sadness, as when missing a loved one. Its sentiment is usually more intense than 🙁 Slightly Frowning Face, which has a smaller frown.",sad face yellow smaller frown slightly frowning convey feelings steep simple wide,POSITIVE,0.9326330423355103
68,😮,Face with Open Mouth,"A yellow face with small, open eyes and a large, round mouth, slack with surprise or shock, as if saying Wow! or Oh my! May convey such feelings as awe or disbelief, often milder or more ironic in tone than 😱 Face Screaming in Fear.",face screaming fear tone yellow small convey feelings awe shock saying wow,NEGATIVE,0.522311806678772
69,😯,Hushed Face,"A yellow face with small, open eyes, raised eyebrows, and a small, open mouth, as if it has been hushed by concern or correction. Meaning widely varies, but its expression is commonly taken as surprise, embarrassment, or mild excitement.",yellow face small open eyes eyebrows mouth raised,NEGATIVE,0.9617937207221985
70,😲,Astonished Face,"A yellow face with open eyes, raised eyebrows, and an open mouth, as if gasping in shock or surprise. Often depicted showing its upper teeth. May convey a wide range of emotions, including awe, amazement, admiration, disbelief, excitement, or concern.",yellow face open eyes eyebrows mouth gasping raised,POSITIVE,0.9962052702903748
71,😳,Flushed Face,"A yellow face with raised eyebrows, a small, closed mouth, wide, white eyes staring straight ahead, and blushing cheeks. Intended to depict such feelings as embarrassment, but meaning very widely varies. Other senses include flattery, surprise, disbelief, admiration, affection, and excitement.",yellow face raised blushing cheeks senses include flattery eyebrows depict feelings embarrassment,POSITIVE,0.9735166430473328
72,🥺,Pleading Face,"A yellow face with furrowed eyebrows, a small frown, and large, “puppy dog” eyes, as if begging or pleading. May also represent adoration or feeling touched by a loving gesture.",puppy dog eyes yellow face furrowed eyebrows frown large,POSITIVE,0.8687812089920044
73,😦,Frowning Face with Open Mouth,"A yellow face with small, open eyes and an open frown. Samsung’s design shows upper teeth and tongue. Meaning widely varies, but may convey mild sadness, disappointment, concern, and amazement.",open frown samsung yellow face design small shows,POSITIVE,0.6669328212738037
74,😧,Anguished Face,"A yellow face with small, open eyes, open frown, and raised eyebrows. Samsung’s design shows upper teeth and tongue. Meaning widely varies, but may convey alarm, confusion, or sadness, as if gasping in shock or concern.",yellow face raised eyebrows samsung small design eyes open frown,NEGATIVE,0.945614755153656
75,😨,Fearful Face,"A face with small, open eyes, open frown, raised eyebrows, and a pale blue forehead, as if experiencing a cold flash. Samsung’s design shows upper teeth and tongue.",samsung design shows cold flash upper teeth tongue,POSITIVE,0.6238308548927307
76,😰,Anxious Face with Sweat,"A face with open eyes and a small, open frown. Its eyebrows are furrowed, with a single bead of cold sweat dripping down, and its forehead is pale blue, as if experiencing a cold flash. Samsung's design shows upper teeth and tongue.",frown eyebrows furrowed open cold flash samsung single small,NEGATIVE,0.9331476092338562
77,😥,Sad but Relieved Face,"A yellow face with small, open eyes, a slight frown, and furrowed eyebrows, from which a single bead of sweat drips, as if from concern or anxiety. Also known as Disappointed but Relieved Face, suggesting the smiley is upset but is grateful things didn’t turn out worse.",slight frown furrowed eyes eyebrows face suggesting smiley,POSITIVE,0.8248674273490906
78,😢,Crying Face,"A yellow face with raised eyebrows and a slight frown, shedding a single, blue tear from one eye down its cheek. May convey a moderate degree of sadness or pain, usually less intensely than 😭 Loudly Crying Face.",slight frown shedding loudly crying face yellow raised eyebrows tear eye cheek,NEGATIVE,0.9834080338478088
79,😭,Loudly Crying Face,"A yellow face with an open mouth wailing and streams of heavy tears flowing from closed eyes. May convey inconsolable grief but also other intense feelings, such as uncontrollable laughter, pride or overwhelming joy.",yellow face open grief intense feelings convey inconsolable,POSITIVE,0.9764782190322876
80,😱,Face Screaming in Fear,"A yellow face screaming in fear, depicted by wide, white eyes, a long, open mouth, hands pressed on cheeks, and a pale blue forehead, as if it has lost its color. Its expression evokes Edvard Munch’s iconic painting The Scream.",yellow face screaming fear depicted iconic painting scream,NEGATIVE,0.6262843608856201
81,😖,Confounded Face,"A yellow face with scrunched, X-shaped eyes and a crumpled mouth, as if quivering in frustration or holding back tears. May be used to represent being overcome with various emotions, including irritation, frustration, disgust, and sadness, as if to the point of defeat.  ",yellow face scrunched eyes crumpled mouth quivering shaped,NEGATIVE,0.9984951019287109
82,😣,Persevering Face,"A yellow face with a slight frown, furrowed eyebrows, and scrunched, X-shaped eyes, as if holding back tears or exerting great effort. May convey various degrees and tones of frustration, sadness, helplessness, and struggle. Facebook’s design features a light-purple forehead.",yellow face slight frown light purple forehead furrowed eyebrows,NEGATIVE,0.9905129075050354
83,😞,Disappointed Face,"A yellow face with a frown and closed, downcast eyes, as if aching with sorrow or pain. May convey a variety of unhappy emotions, including disappointment, grief, stress, regret, and remorse.",yellow face frown closed eyes aching sorrow,NEGATIVE,0.9884945750236511
84,😓,Downcast Face with Sweat,"A yellow face with closed eyes, frown, and a bead of sweat dripping from its forehead. Usually depicted with a single sweat bead on its right side, though Microsoft includes two.",yellow face frown bead sweat dripping forehead closed eyes right microsoft,NEGATIVE,0.9834640622138977
85,😩,Weary Face,"A yellow face with closed eyes, furrowed brows, and a broad, open frown, as if distraught to the point of giving up. Usually shown with upper teeth and sometimes tongue.",yellow face closed eyes furrowed brows broad,NEGATIVE,0.9902760982513428
86,😫,Tired Face,"A yellow face with scrunched, X-shaped eyes, furrowed eyebrows, and a broad, open frown, as if yawning in exhaustion or groaning in exasperation. Usually shown with upper teeth and sometimes tongue.",shaped eyes furrowed yellow face scrunched eyebrows broad,NEGATIVE,0.9990543723106384
87,🥱,Yawning Face,"A yellow face with eyes closed and mouth wide open covered by a hand. Captured mid-yawn, this may represent having insufficient sleep, or to imply boredom with a person or topic.",yellow face eyes closed mouth captured mid yawn represent,NEGATIVE,0.9984620809555054
88,😤,Face with Steam From Nose,"A yellow face with closed eyes, furrowed eyebrows, broad frown, and two puffs of steam blowing out of its nose, as if in a huff or fuming. ",closed eyes furrowed eyebrows yellow face broad frown,NEGATIVE,0.9986377358436584
89,😡,Pouting Face,"A red face with an angry expression: frowning mouth with eyes and eyebrows scrunched downward. Bears the same expression as 😠 Angry Face on most platforms and may convey more intense degrees of anger, e.g., hate or rage.",expression angry face red frowning mouth,NEGATIVE,0.9968301653862
90,😠,Angry Face,"A yellow face with a frowning mouth and eyes and eyebrows scrunched downward in anger. Google’s design features a reddish face and Facebook’s, clenched teeth.",yellow face frowning mouth eyes anger google design reddish facebook,NEGATIVE,0.9982764720916748
91,🤬,Face with Symbols on Mouth,"An angry-red face with a black bar and white grawlixes covering its mouth, indicating it's swearing or being vulgar. Grawlixes are typographical symbols (e.g., @#$%&!) representing swear words or obscenities. Often used to convey an outburst of anger, frustration, or rage.",swearing vulgar grawlixes typographical symbols covering mouth,NEGATIVE,0.9986763596534729
92,😈,Smiling Face with Horns,"A face, usually purple, with devil horns, a wide grin, and eyes and eyebrows scrunched downward in the same manner as 😠 Angry Face on most platforms. Google’s design is red and Facebook’s has black horns and green eyes.",face platforms google usually purple angry facebook black horns manner green eyes,NEGATIVE,0.994530975818634
93,👿,Angry Face with Horns,"A face, usually purple, with two devil horns, frowning mouth and eyes, and eyebrows scrunched downwards in anger. Bears the same expression as 😠 Angry Face and 😡 Pouting Face on most platforms. Google’s design is red and Facebook’s has black horns, green eyes, and clenched teeth.",expression angry face pouting usually purple frowning mouth eyes anger bears platforms google,NEGATIVE,0.9965788722038269
94,💀,Skull,"A whitish-gray, cartoon-styled human skull with large, black eye sockets. Commonly expresses figurative death, e.g., dying from extreme laughter, frustration, or affection.",human skull figurative death dying expresses styled black eye sockets,NEGATIVE,0.9906304478645325
95,☠️, Skull and Crossbones,"A cartoon human skull atop an X-shaped pair of bones, as on a pirate flag or poison symbol. Samsung’s design previously displayed a skull and crossbones on a yellow triangle, indicating a hazardous material.",cartoon human skull displayed atop shaped crossbones symbol samsung design,NEGATIVE,0.9913268685340881
96,💩,Pile of Poo,"A swirl of brown poop, shaped like soft-serve ice cream with large, excited eyes and a big, friendly smile.",serve ice cream large swirl brown poop soft shaped excited,POSITIVE,0.9992891550064087
97,🤡,Clown Face,"A circus or birthday clown displayed with white face makeup, a red nose, exaggerated eyes and smile, and two tufts of hair (red or blue). Commonly used as comment on TikTok or other social media platforms to indicate that a person is foolish, idiotic and/or selfish.",circus birthday clown displayed white face,NEGATIVE,0.997439980506897
98,👹,Ogre,"A grotesque, red face with horns, wide eyes, a large nose, crooked fangs, and a fringe of shaggy hair. Depicts an oni, a kind of hideous ogre in Japanese folklore.",depicts oni kind hair hideous ogre japanese grotesque red face folklore,NEGATIVE,0.9156395792961121
99,👺,Goblin,"A menacing, red mask featuring a grotesquely long nose, angry eyes, and bushy eyebrows and mustache. Depicts a tengu, a proud trickster figure in Japanese folklore.",mustache depicts tengu menacing red mask trickster figure japanese featuring grotesquely folklore proud,POSITIVE,0.7078866362571716
100,👻,Ghost,"Boo! A white, cartoon ghost making a silly face. Its tongue is stuck out and arms are outstretched, as if trying to scare someone in a friendly way. Several platforms feature one larger, bulging eye. ",cartoon ghost white boo making silly,NEGATIVE,0.6808017492294312
101,👽,Alien,"A classic alien face. The oval, bare head of a gray or green alien with large black eyes and a slight, friendly smile. Samsung depicts nostrils, Facebook a nose.",alien face classic oval samsung depicts nostrils smile facebook nose,POSITIVE,0.9443690180778503
102,👾,Alien Monster,"A friendly-looking, tentacled space creature with two eyes. Most major platforms style their design after aliens in classic arcade games like Space Invaders, rendering it purple and pixellated, as if in 8-bit graphics.",space creature eyes tentacled looking invaders rendering style design aliens friendly,POSITIVE,0.9959293007850647
103,🤖,Robot,"The head of a classic robot. Commonly depicted as a vintage, tin toy robot with circular eyes, a triangular nose, knobs for ears, a light and/or antennae atop its head, and a grill-like mouth similar to a grimace. Colors vary across platform, but its head is metallic on most platforms. ",head classic robot tin toy commonly depicted circular eyes vintage,NEGATIVE,0.9837713837623596
104,😺,Grinning Cat,A cartoon cat variant of 😀 Grinning Face. Depicted as yellow on major platforms.,cartoon cat variant grinning face depicted yellow,NEGATIVE,0.9946320056915283
105,😸,Grinning Cat with Smiling Eyes,A cartoon cat variant of 😄 Grinning Face With Smiling Eyes. Depicted as yellow on major platforms.,cat variant grinning cartoon smiling eyes depicted face,NEGATIVE,0.7979358434677124
