text,emojis
Enchanted Sword,"['⚔️', '✨', '🐉', '🔥']"
Mermaids,"['🧜‍♀️', '🌊', '🐠', '🐚']"
Renewable Energy Startups in India,"['🌱', '⚡', '🇮🇳', '🚀']"
Mummy,"['🧻', '🧟‍♂️', '🏺', '🏜️']"
Renaissance Artists,"['🎨', '🏛️', '✍️', '💡']"
Amusement,"['😆', '😂', '🤣', '🎭', '🃏']"
Slenderman,"['🧍‍♂️', '🎩', '🌲', '👀']"
LGBTQ+ Rights,"['🏳️‍🌈', '✊', '❤️', '⚖️']"
Reptiles,"['🦎', '🐍', '🐢']"
Cold War,"['❄️', '🚀', '🛰️', '🔒']"
School,"['🏫', '📚', '✏️', '🧑‍🏫']"
Academic Excellence,"['🏅', '📚', '👏', '🎉']"
Greenhouse Gases,"['🏭', '🌫️', '🧪', '♻️']"
Love,"['❤️', '💕', '😍', '💖', '🫶']"
Ancient Rome,"['🏟️', '🏛️', '🪖', '🗡️']"
Supply & Demand,"['📦', '🛒', '📈', '📉']"
Demon,"['😈', '🔥', '👿', '🩸']"
Global Warming,"['🌎', '☀️', '🌡️', '🔥']"
Witch,"['🧙‍♀️', '🪄', '🧹', '🕯️']"
Pet Shelters,"['🏠', '🐾', '🐕', '🐱']"
Basilisk,"['🐍', '👀', '🏰', '❗']"
Civil Rights Movement,"['✊', '🕊️', '⚖️', '🚶‍♂️']"
Physical Education,"['🏃‍♂️', '🏅', '🤸‍♀️', '⚽']"
Griffin,"['🦅', '🦁', '🛡️', '🏰']"
Skeleton,"['☠️', '💀', '⚰️', '🪦']"
Loch Ness Monster,"['🌊', '🦕', '🐉', '🐾']"
Online Math Courses,"['💻', '➕', '🔢', '🎓']"
Peacefulness,"['🕊️', '🌸', '✨', '🌱', '🛐']"
Language Learning,"['🗣️', '📖', '🌐', '✍️']"
Droughts,"['☀️', '🌾', '💧', '🏜️']"
Explorers,"['🧭', '🚢', '🌍', '🗺️']"
Vertical Farming,"['🌾', '🏢', '📈', '🌱']"
Ancient History,"['🏺', '🏛️', '🗿', '⏳']"
Envy,"['😤', '👁️', '🐍', '🟢', '🪞']"
Inventors,"['💡', '⚙️', '🔧', '📜']"
World History,"['🌍', '📜', '🏛️', '🗺️']"
Medieval History,"['🏰', '⚔️', '🛡️', '👑']"
Indus Valley,"['🏞️', '🛕', '🏺', '🌊']"
Revenant,"['🧟‍♂️', '👀', '🩸', '🔗']"
Birds,"['🦜', '🐦', '🐣']"
Virtual Classroom,"['🖥️', '🧑‍💻', '🎙️', '🏫']"
Trust,"['🤝', '❤️', '🫱', '🔐', '🫶']"
European Colonization,"['🚢', '🇪🇸', '🇵🇹', '🇬🇧']"
Diploma,"['📜', '🏅', '🎓', '✅']"
Trade War,"['⚔️', '🛃', '💼', '🚢']"
Backpack,"['🎒', '📚', '📝', '🏫']"
Space Race,"['🚀', '🛰️', '🌕', '🇺🇸']"
Iron Age,"['⚔️', '🛡️', '🔨', '🏺']"
Contempt,"['😏', '😒', '🙄', '🧐', '🫤']"
Homework,"['📝', '✏️', '📒', '🕐']"
Computer Science,"['💻', '👨‍💻', '🖱️', '🧠']"
Dog Walking,"['🚶‍♂️', '🐕', '🌳']"
Honor Roll,"['🏆', '✅', '🎓', '✨']"
Revenge,"['👿', '🔥', '⚔️', '😈', '🧨']"
Renaissance,"['🎨', '✍️', '🏛️', '💡']"
Giant,"['🦣', '👣', '🗿', '🧍‍♂️']"
Trade Routes,"['🚢', '🐫', '🗺️', '🏦']"
Notebook,"['📒', '📓', '✍️', '📝']"
Mixed Feelings,"['😬', '🫤', '🤯', '🤷‍♀️', '💭']"
Silk Road,"['🐫', '🏜️', '🛤️', '🏞️']"
Anger,"['😡', '😠', '👿', '💢', '🔥']"
Satisfaction,"['😋', '👍', '😊', '🥰', '🌈']"
Reading,"['📖', '👓', '🧠', '🪶']"
Problem Solving,"['🧠', '🛠️', '💭', '✅']"
Horses,"['🐴', '🏇', '🌾']"
AI in Education,"['🤖', '🎓', '🧠', '💡']"
Bronze Age,"['🪙', '🗡️', '🛡️', '🏺']"
Sustainable Fashion,"['👚', '♻️', '🌿', '🧵']"
Carbon Emissions,"['🏭', '💨', '🌫️', '🌍']"
Dwarves,"['🧝‍♂️', '⛏️', '⚒️', '🍻']"
Spaceflight,"['🚀', '🌌', '🌍', '👨‍🚀']"
Emperors & Empresses,"['🏯', '👑', '🗡️', '🐉']"
Gorgon,"['🐍', '👩‍🦰', '👀', '🗿']"
Pet Food,"['🍖', '🥩', '🐟', '🍲']"
Frustration,"['😤', '😣', '😑', '🤯', '🧨']"
Ancient Egypt,"['🐫', '🏺', '🏜️', '🔺']"
Group Project,"['👥', '🤝', '📚', '📝']"
Timeline,"['🕰️', '⏳', '📅', '📜']"
Ancient Rome Architecture,"['🏛️', '🏟️', '🏗️', '🇮🇹']"
Prehistoric Era,"['🦣', '🔥', '🗿', '🪓']"
Hamsters,"['🐹', '🧀', '🏠']"
Pet Clothing,"['👕', '🐾', '🧣']"
Revolutionary War,"['🇺🇸', '⚔️', '🎖️', '🏛️']"
Pet Grooming,"['✂️', '🛁', '🐾']"
Solar Energy Investments in Germany,"['☀️', '🔋', '🇩🇪', '📈']"
Calmness,"['😌', '🧘‍♀️', '🌿', '☁️', '🍃']"
Vietnam War,"['🌿', '⚔️', '🚁', '🇻🇳']"
Ancient China,"['🏯', '🐉', '🧧', '🏺']"
Sympathy,"['🤲', '🫂', '❤️', '🕊️', '🙏']"
Climate Crisis,"['🌪️', '🌊', '🔥', '🚨']"
Dogs,"['🐶', '🐾', '🦴']"
Sustainable Development Education,"['🌱', '📚', '🌍', '♻️']"
Pet Daycare,"['🏫', '🐶', '🐾']"
Pet Therapy,"['❤️', '🐕', '🧘‍♀️']"
Ogre,"['🧌', '🪓', '👹', '🍖']"
Writing,"['✍️', '🖋️', '📓', '📝']"
Troll,"['🧌', '🪓', '🛡️', '🌉']"
Recovery,"['🚀', '📈', '🌱', '💪']"
Pet Accessories,"['🎀', '🐾', '🛍️']"
Deforestation,"['🌲', '🪓', '🔥', '🚫']"
Hurricanes,"['🌪️', '🌊', '🌀', '🌧️']"
Knowledge,"['📚', '🧠', '🌐', '📝']"
Pet Ownership,"['👤', '🐾', '🏡']"
Aztec Civilization,"['🗿', '🌽', '🐍', '🏹']"
Wildfire Prevention Measures in Australia,"['🔥', '🚒', '🇦🇺', '🌲']"
Excitement,"['🤩', '😃', '🚀', '🎉', '🥳']"
Surprise,"['😲', '😯', '🤯', '🎉', '🫢']"
Listening,"['👂', '🎧', '📚', '📝']"
Skeleton Warrior,"['☠️', '🗡️', '🛡️', '⚔️']"
Exotic Pets,"['🦎', '🐍', '🦜']"
Pet Toys,"['🧸', '🏀', '🐾']"
Civil War,"['⚔️', '🏴', '🏳️', '🏞️']"
Wildfires,"['🔥', '🌲', '🏞️', '🚒']"
Green Architecture,"['🏢', '🌿', '☀️', '♻️']"
"Taj Mahal, India","['🕌', '🏰', '🌸', '🇮🇳']"
Phoenix,"['🔥', '🐦', '🌅', '♻️']"
Science,"['🔬', '⚗️', '🧪', '🧬']"
Women's Suffrage,"['👩‍⚖️', '🗳️', '✊', '⚖️']"
Climate Change,"['🌍', '🌡️', '🔥', '🧊']"
Pet Spa,"['🛀', '🐾', '🕯️']"
Exploration of the Americas,"['🧭', '🚢', '🇪🇸', '🗺️']"
Ghost Haunting an Abandoned Castle,"['👻', '🏰', '🌫️', '🕯️']"
"Stonehenge, UK","['🗿', '🌄', '🏞️', '🇬🇧']"
Spell Book,"['📖', '🔮', '✨', '🕯️']"
Friendship,"['🤗', '👯‍♂️', '🫂', '💛', '🤝']"
Werewolf Transformation Under Full Moon,"['🐺', '🌕', '👀', '🧛‍♂️']"
Shame,"['🙈', '😳', '😓', '🫣', '🚫']"
Pet Treats,"['🍪', '🦴', '🐾']"
Telephone,"['☎️', '🗣️', '📞', '💡']"
Kraken,"['🐙', '🌊', '🚢', '⚓']"
Vampire Attack,"['🧛‍♂️', '🩸', '🌕', '⚰️']"
Vampire,"['🧛‍♂️', '🧛‍♀️', '🩸', '🦇']"
Poverty,"['🏚️', '💸', '🌍', '⚠️']"
Modern History,"['🏙️', '🚂', '🗽', '✈️']"
Inca Empire,"['🏔️', '🌽', '🏺', '🦙']"
Ferrets,"['🦦', '🐾', '🏡']"
Ice Storms,"['❄️', '🌨️', '🧊', '🌬️']"
Pyramids of Egypt,"['🔺', '🏜️', '🏺', '🌞']"
Crystal Ball,"['🔮', '👁️', '🌕', '✨']"
Innovation,"['💡', '🚀', '🌐', '⚙️']"
Scholarship,"['💰', '🎓', '🏅', '📜']"
Critical Thinking,"['🧠', '💡', '🤔', '⚖️']"
Pet Fostering,"['👨‍👩‍👧‍👦', '🐾', '🏠']"
Cyclops,"['👁️', '🧌', '🗿', '🛠️']"
Presentation,"['🖥️', '📊', '🎤', '👨‍🏫']"
Graduation,"['🎓', '📜', '🥳', '📸']"
Graduation Ceremony 2024,"['🎓', '🎉', '📜', '🥳']"
Music,"['🎵', '🎼', '🎹', '🎧']"
Philosophers,"['🤔', '📚', '🏛️', '🧠']"
Encouragement,"['👍', '💪', '👏', '🌟', '✨']"
Sadness,"['😢', '😞', '😔', '😭', '💔']"
Guilt,"['😓', '😢', '🙇‍♂️', '🫤', '🪞']"
Recession,"['📉', '⚠️', '💸', '🏚️']"
Climate Refugee Relocation Programs,"['🚶‍♂️', '🏚️', '🌍', '✈️']"
Steam Engine,"['🚂', '⚙️', '🔥', '🏭']"
Chupacabra,"['🐐', '🦇', '👹', '🩸']"
Teaching,"['👩‍🏫', '👨‍🏫', '✏️', '📖']"
Pet Breeding,"['🐾', '🐶', '🐱', '👶']"
Geography,"['🌍', '🗺️', '🧭', '🏞️']"
Pet Training,"['🏅', '🐾', '🎾']"
Industrial Revolution,"['🏭', '🚂', '⚙️', '🏗️']"
Printing Press,"['🖨️', '📜', '✒️', '🏛️']"
"Colosseum, Rome","['🏟️', '🗡️', '🏛️', '🇮🇹']"
Corruption,"['🕵️‍♂️', '💼', '💸', '🚨']"
Abolition of Slavery,"['✊', '🔗', '⚖️', '🤝']"
Extreme Weather,"['🌪️', '🌊', '❄️', '☀️']"
Zombie Apocalypse,"['🧟‍♂️', '☠️', '🧠', '🔥']"
Loneliness,"['🥺', '😞', '🌧️', '🕊️', '🫥']"
Turtles,"['🐢', '🌊', '🏞️']"
Biology,"['🧬', '🧫', '🌱', '🐸']"
Classroom,"['🏫', '👩‍🏫', '👨‍🎓', '📚']"
School Bus,"['🚌', '🏫', '👧', '👦']"
Collaboration,"['🤝', '👥', '💬', '👨‍👩‍👦']"
Environmental Migration,"['🚶‍♂️', '🌍', '🧳', '🏚️']"
Inflation,"['💸', '📈', '🔥', '🛒']"
Giant Snake,"['🐍', '👁️', '🌲', '🐾']"
E-learning,"['💻', '🎧', '📱', '🌐']"
Orc,"['🧌', '⚔️', '🪓', '👹']"
Awe,"['🤩', '🌌', '🌟', '✨', '🛐']"
School Supplies,"['✏️', '📏', '🖍️', '📓']"
History,"['📜', '🏺', '🏛️', '🕰️']"
Lich,"['☠️', '🧙‍♂️', '📜', '🔮']"
Fish,"['🐠', '🐟', '🐡']"
Pet Furniture,"['🪑', '🛏️', '🐾']"
Distance Learning,"['🌐', '🎓', '🖥️', '🏠']"
Mothman,"['🦋', '🌑', '👁️', '👹']"
Floods,"['🌊', '🌧️', '🏠', '🚨']"
Pet Beds,"['🛏️', '🐾', '💤']"
Kings & Queens,"['👑', '🏰', '💍', '👸']"
Disappointment,"['😞', '😕', '🙁', '💭', '❌']"
Art,"['🎨', '🖌️', '🖼️', '🏺']"
Pet Sitting,"['🪑', '🐾', '🏠']"
Chemistry,"['⚗️', '🧪', '🧫', '🔬']"
Compassion,"['🤲', '❤️', '🫶', '🤗', '🌷']"
Debate,"['🎙️', '⚖️', '🗣️', '🤔']"
Education,"['🎓', '🏫', '📚', '✏️']"
Werewolf,"['🐺', '🌕', '🧑‍🦰', '🐾']"
Research,"['🔬', '📄', '🧪', '📚']"
Shock,"['😱', '🫣', '👀', '⚡', '😳']"
Hatred,"['👿', '😡', '💢', '🔪', '🩸']"
Crusades,"['✝️', '⚔️', '🏰', '🕍']"
Industrial Revolution and Urbanization,"['🏭', '🚂', '🏙️', '⚙️']"
Mathematics,"['➗', '➕', '🔢', '📐']"
Dragon,"['🐉', '🔥', '🐲', '🏰']"
Economic Sanctions,"['🚫', '💰', '🛢️', '📦']"
Empathy,"['🫂', '❤️', '🙏', '👂', '💬']"
Airplane,"['✈️', '🛩️', '🌍', '🚀']"
Economic Crisis,"['🚨', '📉', '💸', '🏦']"
Deflation,"['📉', '❄️', '🛒', '💰']"
"Statue of Liberty, USA","['🗽', '🇺🇸', '🌊', '🏙️']"
Gamification,"['🎮', '🏆', '🎯', '✨']"
University Entrance Exams Preparation,"['📚', '📝', '🏫', '🎯']"
Gratitude,"['🙏', '😊', '🌸', '💐', '❤️']"
Rabbits,"['🐰', '🥕', '🐾']"
Creativity,"['🎨', '✨', '💡', '🖌️']"
Jealousy,"['😒', '👀', '🧿', '😠', '🐍']"
Scientists,"['🔬', '📚', '⚗️', '🧪']"
Zombie,"['🧟‍♂️', '🧟‍♀️', '🧠', '☠️']"
Middle Ages,"['🏰', '⚔️', '🛡️', '👑']"
Sea Monster Devouring a Ship,"['🐙', '🚢', '🌊', '⚓']"
Urban Gardening,"['🌱', '🏙️', '🌿', '🥬']"
Giant Bat,"['🦇', '🌑', '👀', '🏰']"
World War II,"['🪖', '✈️', '🚢', '🌍']"
Bike Sharing Programs,"['🚲', '♻️', '🌍', '🏙️']"
College,"['🎓', '🏢', '📚', '👨‍🎓']"
Minotaur,"['🐂', '🏰', '🔗', '⚔️']"
Romantic Love,"['❤️', '💕', '😍', '💏', '💖']"
Organic Pet Food,"['🌿', '🥗', '🍖', '🐾']"
Relief,"['😅', '🧘‍♂️', '🙏', '💦', '🍵']"
Compassion,"['🤗', '❤️', '🕊️', '🌿', '🫶']"
Laboratory,"['🔬', '🧪', '👩‍🔬', '🧫']"
Swarm of Insects,"['🐝', '🐜', '🕷️', '🌪️']"
Ancient Dragon Awakening,"['🐉', '🔥', '🏔️', '⚔️']"
Mayan Civilization,"['🌄', '🗿', '🐆', '🌽']"
Cursed Ring,"['💍', '⚫', '🔒', '❌']"
Elves,"['🧝‍♂️', '🌲', '🏹', '✨']"
Cats,"['🐱', '🐾', '🐟']"
Bigfoot,"['🦶', '🌲', '🐾', '👣']"
Admiration,"['🌟', '👏', '🤩', '❤️', '🙌']"
Fairies,"['🧚‍♀️', '✨', '🌸', '🦋']"
Fear,"['😨', '😱', '👻', '🫣', '🧟']"
Hydra,"['🐉', '🐍', '🔥', '⚔️']"
Pride,"['😎', '🏆', '👏', '🏅', '🌟']"
Space Race Between USA and USSR,"['🚀', '🛰️', '🇺🇸', '🇷🇺']"
Affection,"['🤗', '😘', '💌', '🫂', '💞']"
Demon Lord,"['😈', '🔥', '👑', '🛡️']"
Economic Growth,"['📈', '💹', '🚀', '🌱']"
Age of Discovery,"['🌍', '🧭', '🚢', '🗺️']"
Optimism,"['☀️', '🌈', '😄', '✨', '💫']"
Veterinary Services,"['🏥', '🐾', '💉']"
Heatwaves,"['☀️', '🌡️', '🏜️', '🚨']"
Learning,"['📖', '🧠', '💡', '✍️']"
Napoleonic Wars,"['🎩', '🐴', '⚔️', '🇫🇷']"
Study,"['📚', '✍️', '🧠', '☕']"
Revolutionaries,"['✊', '⚔️', '🎤', '📜']"
Pet Rescue,"['🚑', '🐾', '🐕', '🐈']"
"Eiffel Tower, France","['🗼', '🇫🇷', '✨', '🌙']"
Ghost,"['👻', '🕯️', '🏚️', '🌫️']"
Happiness,"['😀', '😄', '😊', '😁', '🥳']"
Pet Carriers,"['🎒', '🚗', '🐾']"
Indecision,"['🤷‍♂️', '⚖️', '❔', '🔄', '🕰️']"
"Machu Picchu, Peru","['🏔️', '🦙', '🏞️', '🏺']"
Contentment,"['😌', '☁️', '🌿', '🧘‍♂️', '🌸']"
Pet Adoption,"['🐾', '🏠', '❤️']"
Mesopotamia,"['🌾', '🏞️', '🏺', '🧱']"
Unemployment,"['👷‍♂️❌', '📉', '🏚️']"
Joy,"['😄', '🥰', '🎉', '🌞', '💫']"
Smart Pet Collars,"['📱', '🐶', '⌚']"
Library,"['📚', '🏛️', '🤫', '🕮']"
Goblin,"['🧌', '💰', '🪓', '🗡️']"
Student,"['👨‍🎓', '👩‍🎓', '📚', '🧠']"
